user_id,session_id,journey
user_1,session_164,/product
user_1,session_191,/checkout
user_1,session_48,/home
user_1,session_506,/home
user_1,session_626,/product
user_1,session_700,/cart
user_1,session_740,/home
user_1,session_859,/home
user_10,session_165,/product
user_10,session_230,/home
user_10,session_356,/cart
user_10,session_396,/home
user_10,session_572,/product
user_10,session_613,/checkout
user_10,session_670,/checkout
user_10,session_69,/checkout
user_10,session_751,/cart
user_10,session_912,/product
user_100,session_540,/home
user_100,session_612,/home
user_100,session_738,/product
user_100,session_808,/home
user_100,session_852,/home
user_100,session_870,/cart
user_100,session_887,/product
user_100,session_907,/product
user_100,session_908,/cart
user_100,session_954,/checkout
user_11,session_183,/product
user_11,session_217,/home
user_11,session_360,/checkout
user_11,session_616,/product
user_11,session_662,/home
user_11,session_825,/product
user_11,session_846,/cart
user_11,session_910,/cart
user_11,session_923,/home
user_12,session_114,/checkout
user_12,session_119,/home
user_12,session_214,/cart
user_12,session_398,/home
user_12,session_409,/product
user_12,session_500,/cart
user_12,session_569,/product
user_12,session_609,/home
user_12,session_618,/home
user_12,session_681,/checkout
user_12,session_7,/home
user_12,session_704,/checkout
user_12,session_715,/product
user_12,session_754,/checkout
user_12,session_792,/checkout
user_12,session_992,/cart
user_13,session_161,/cart
user_13,session_193,/checkout
user_13,session_32,/checkout
user_13,session_324,/product
user_13,session_35,/product
user_13,session_529,/product
user_13,session_721,/product
user_13,session_772,/home
user_13,session_891,/home
user_13,session_902,/cart
user_14,session_263,/checkout
user_14,session_296,/home
user_14,session_307,/checkout
user_14,session_351,/product
user_14,session_367,/cart
user_14,session_439,/checkout
user_14,session_489,/product
user_14,session_669,/cart
user_14,session_710,/cart
user_14,session_783,/cart
user_14,session_811,/checkout
user_14,session_826,/home
user_14,session_857,/home
user_14,session_985,/home
user_15,session_244,/product
user_15,session_287,/home
user_15,session_585,/checkout
user_15,session_969,/checkout
user_16,session_154,/checkout
user_16,session_356,/cart
user_16,session_382,/checkout
user_16,session_424,/cart
user_16,session_514,/home
user_16,session_76,/cart
user_16,session_970,/cart
user_17,session_117,/checkout
user_17,session_158,/product
user_17,session_394,/cart
user_17,session_533,/home
user_17,session_567,/home
user_17,session_572,/home
user_17,session_665,/checkout
user_17,session_676,/product
user_17,session_694,/checkout
user_17,session_994,/home
user_18,session_189,/cart
user_18,session_308,/home
user_18,session_352,/home
user_18,session_404,/home
user_18,session_420,/home
user_18,session_45,/home
user_18,session_786,/home
user_18,session_872,/product
user_18,session_936,/home
user_18,session_95,/home
user_18,session_955,/product
user_19,session_10,/checkout
user_19,session_127,/cart
user_19,session_263,/home
user_19,session_342,/home
user_19,session_364,/checkout
user_19,session_402,/checkout
user_19,session_414,/home
user_19,session_443,/product
user_19,session_554,/checkout
user_19,session_612,/cart
user_19,session_616,/checkout
user_19,session_683,/checkout
user_19,session_737,/product
user_19,session_817,/home
user_19,session_914,/checkout
user_19,session_959,/cart
user_19,session_98,/cart
user_2,session_135,/product
user_2,session_14,/checkout
user_2,session_198,/cart
user_2,session_255,/cart
user_2,session_31,/checkout
user_2,session_366,/home
user_2,session_46,/checkout
user_2,session_485,/home
user_2,session_514,/product
user_2,session_722,/product
user_2,session_751,/home
user_2,session_86,/checkout
user_2,session_901,/checkout
user_2,session_925,/cart
user_20,session_237,/checkout
user_20,session_297,/home
user_20,session_327,/product
user_20,session_390,/checkout
user_20,session_465,/cart
user_20,session_487,/product
user_20,session_52,/product
user_20,session_521,/cart
user_20,session_660,/checkout
user_20,session_671,/home
user_20,session_771,/product
user_20,session_829,/product
user_20,session_864,/home
user_21,session_129,/home
user_21,session_247,/cart
user_21,session_273,/product
user_21,session_302,/home
user_21,session_367,/product
user_21,session_648,/home
user_21,session_712,/product
user_21,session_714,/checkout
user_21,session_739,/cart
user_21,session_962,/product
user_22,session_419,/cart
